Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_2012Metric",190.627000,-73.660000,-90.000000,top
"C2","22pF","C_0805_2012Metric",199.517000,-73.533000,90.000000,top
"C3","1uF","C_0805_2012Metric",177.165000,-71.120000,0.000000,top
"C4",".1 uF","C_0805_2012Metric",204.470000,-63.500000,0.000000,top
"C5",".1 uF","C_0805_2012Metric",204.470000,-70.358000,0.000000,top
"C6",".1 uF","C_0805_2012Metric",204.470000,-73.660000,0.000000,top
"C7","10uF","C_0805_2012Metric",204.470000,-66.675000,0.000000,top
"F1","Polyfuse_Small","Fuse_1206_3216Metric",171.577000,-73.533000,0.000000,top
"MX1","MX-NoLED","MX-1U",173.037500,-85.725000,0.000000,top
"MX2","MX-NoLED","MX-1U",192.087500,-85.725000,0.000000,top
"MX3","MX-NoLED","MX-1U",211.137500,-85.725000,0.000000,top
"MX4","MX-NoLED","MX-1U",173.037500,-104.775000,0.000000,top
"MX5","MX-NoLED","MX-1U",192.087500,-104.775000,0.000000,top
"MX6","MX-NoLED","MX-1U",211.137500,-104.775000,0.000000,top
"MX7","MX-NoLED","MX-2U",230.187500,-95.250000,90.000000,top
"MX8","MX-NoLED","MX-1U",173.037500,-123.825000,0.000000,top
"MX9","MX-NoLED","MX-1U",192.087500,-123.825000,0.000000,top
"MX10","MX-NoLED","MX-1U",211.137500,-123.825000,0.000000,top
"MX11","MX-NoLED","MX-2U",182.562500,-142.875000,0.000000,top
"MX12","MX-NoLED","MX-1U",211.137500,-142.875000,0.000000,top
"MX13","MX-NoLED","MX-2U",230.187500,-133.350000,90.000000,top
"R1","10k","R_0805_2012Metric",182.245000,-73.406000,-90.000000,top
"R2","5.1k","R_0805_2012Metric",180.721000,-59.944000,0.000000,top
"R3","5.1k","R_0805_2012Metric",163.322000,-67.691000,180.000000,top
"R4","22","R_0805_2012Metric",177.165000,-63.373000,-90.000000,top
"R5","22","R_0805_2012Metric",170.180000,-63.500000,-90.000000,top
"R6","10k","R_0805_2012Metric",204.470000,-58.039000,0.000000,top
"SW1","SW_Push","SKQG-1155865",212.979000,-66.040000,90.000000,top
"SW2","RotaryEncoder","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",221.858000,-62.397000,0.000000,top
"U1","PRTR5V0U2X","SOT143B",173.609000,-63.373000,180.000000,top
"U2","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",193.929000,-61.595000,-45.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",195.072000,-73.533000,0.000000,top
