Comment,Designator,Footprint,LCSC Part #
"22pF Unpolarized capacitor, small symbol","C1,C2",C_0805_2012Metric,
"1uF Unpolarized capacitor, small symbol",C3,C_0805_2012Metric,
".1 uF Unpolarized capacitor, small symbol","C4,C5,C6",C_0805_2012Metric,
"10uF Unpolarized capacitor, small symbol",C7,C_0805_2012Metric,
"D_Small Diode, small symbol","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13",D_SOD-123,
"Polyfuse_Small Resettable fuse, polymeric positive temperature coefficient, small symbol",F1,Fuse_1206_3216Metric,
,,,
,,,
"10k Resistor, small symbol","R1,R6",R_0805_2012Metric,
"5.1k Resistor, small symbol","R2,R3",R_0805_2012Metric,
"22 Resistor, small symbol","R4,R5",R_0805_2012Metric,
"SW_Push Push button switch, generic, two pins",SW1,SKQG-1155865,
,,,
PRTR5V0U2X ,U1,SOT143B,
"ATmega32U4-A 16MHz, 32kB Flash, 2.5kB SRAM, 1kB EEPROM, USB 2.0, TQFP-44",U2,TQFP-44_10x10mm_P0.8mm,
HRO-TYPE-C-31-M-12 ,USB1,HRO-TYPE-C-31-M-12-HandSoldering,
"Crystal_GND24_Small Four pin crystal, GND on pins 2 and 4, small symbol",Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,
